Transaction_ID,Date,Account_Name,Description,Amount,Currency
8100,2023-07-01,Lloyds Business GBP,Opening Balance,22000.00,GBP
8100,2023-07-01,Trade Receivables,Opening Balance,3000.00,GBP
8100,2023-07-01,Share Capital - Ordinary,Opening Balance,-15000.00,GBP
8100,2023-07-01,Retained Earnings,Opening Balance,-10000.00,GBP
8101,2023-12-15,Lloyds Business GBP,Q2 services billed,12000.00,GBP
8101,2023-12-15,Service Revenue,Q2 services revenue,-12000.00,GBP
8102,2024-05-20,Lloyds Business GBP,Q4 services billed,10000.00,GBP
8102,2024-05-20,Service Revenue,Q4 services revenue,-10000.00,GBP
8103,2024-06-30,Office Rent,FY24 London office rent,7000.00,GBP
8103,2024-06-30,Lloyds Business GBP,FY24 rent payment,-7000.00,GBP
8104,2024-06-30,Wages & Salaries,FY24 staff wages,12000.00,GBP
8104,2024-06-30,Lloyds Business GBP,FY24 staff wages payment,-12000.00,GBP
